NameofOrganisation,Latitude,Longitude
Gunbalanya,-12.324,133.056
Palmerston Indigenous Village,-12.48809722,131.0116806
Nganmarriyanga,-14.351111,129.87889
Perrederr,-14.01963,129.82661
Paru,-11.74982,130.64642
Patonga (Airstrip),-12.94826,132.56901
Peppimenarti,-14.1503,130.0763
Pirlangimpi,-11.4059,130.4172
Railway Dam,-12.45404167,130.8439028
Spring Peak,-12.96266,132.45424
Tree Point,-12.30839,131.01819
Taracumbi,-11.60806,130.71131
Wadeye,-14.2404,129.5205
Amangal Indigenous Village,-13.2445,131.1041
Waminari,-11.768607,133.39754
Warruwi,-11.64896,133.38935
Ngardinitchi,-14.19288,129.48431
Wigu,-11.61353,133.43225
Wilgi,-11.49601,132.74947
Woodycupaldiya,-13.85926,130.00115
Wudapuli,-14.21351,129.85315
Alkipi,-23.27356,131.82924
Red Sandhill,-24.00973611,132.8527917
Alpara,-25.91526,131.21242
Injulkama,-23.07626,133.10673
Amoonguna,-23.76631944,133.9359861
Ampilatwatja,-21.65664,135.22509
Amputjuta,-24.92956,129.12287
Angula,-22.55781,134.21675
Angas Downs,-25.03447,132.27377
Anningie,-21.83473,133.14445
Indaringinya,-21.67707,134.71992
Anthelk Ewlpaye,-23.68979167,133.8793194
Anthepe,-23.7575,133.8655
Sugar Creek,-23.94973611,132.573625
Aper Alwerrknge,-23.66834722,133.8708472
Areyonga,-24.073612,132.27083
Arrkapa,-23.98248,132.82937
Artekerr,-22.29022,134.54312
Atnwengerrpe,-21.86956,134.99411
Utily,-23.48877,131.87319
Blackwater,-23.26181,131.89688
Orrtipa-Thurra,-22.784582,136.16829
Atneltyey,-22.03683,134.61166
Mala,-21.69494,130.85331
Town Bore,-23.35473,132.06416
Gupanga,-12.0752,134.5843
Gurrgurr,-12.20644,134.00904
Nyirripi,-22.6505,130.5532
Nyewente,-23.68779167,133.8628472
Papunya,-23.203056,131.9111
Phillipson Bore,-24.09593,134.43038
Pine Hill,-22.37949,133.05366
Pinpirnga,-23.16275,129.46322
Pmara Jutunta,-22.20878,133.43073
Pulardi,-22.56332,132.37978
Punritjanta,-24.67392,129.29393
Puta Puta,-25.07345,129.64045
Puyurru,-21.33117,130.81753
Rodna,-23.76213,132.67042
Santa Teresa,-24.1307,134.3733
Atnarara,-22.02622,134.78721
Arawerr,-22.01371,134.84618
Titjikala,-24.67389,134.07584
Tjamangkurra,-23.96890278,132.8052917
Tjulpungu,-21.83419,131.41348
Tjunti,-25.01763,129.40113
Tjuntinanta,-24.85187,129.23084
Wurdeja,-12.17056944,134.6608472
Alharrgan,-13.67507,136.05261
Alyingberrma,-13.80934,136.81691
Amanburnunga,-13.92641,136.69486
Amirraba,-13.90868,136.85787
Andanangki,-13.60962,135.76503
Angurugu,-13.98223611,136.4605694
Borogomarra,-12.24159,134.97834
Djarrakpi,-13.29691,136.35162
Djurranalpi,-11.84684,135.87292
Donydji,-12.89045,135.47028
Galawdjapin,-12.28695,134.81751
Gilirri,-12.33029,134.81695
Galiwinku,-12.0235,135.5664
Bayagida,-12.04269,134.92821
Engawala,-22.80257,134.45547
Eight Mile,-23.88699,132.68279
Ewyenper Atwatye,-23.70809722,133.8997361
Finke,-25.5821,134.5779
Gilbert Springs,-23.97177,132.48073
Warby,-16.1531,136.7344
Wollagalonng Outstation,-21.36721,133.439495
Parrulyu,-20.45276,130.90912
Haasts Bluff,-23.44733,131.88129
Atitjere,-22.9843,134.9341
Hermannsburg,-23.9427,132.7787
Green Valley,-23.15051,131.73817
Ilkarralalama,-23.96461,132.46504
Dons Bore,-22.26233,131.92027
New Ilparpa,-23.76576389,133.8706806
Ilperle-Tyathe,-23.6656,133.8611
Ilpili,-23.32393,130.36045
Ilyiperenye,-23.74381944,133.8707917
Imanpa,-25.13051,132.56999
Importna,-23.94048,132.74341
Ngangurr,-25.2236,129.9158
Ngunarra,-18.6408,135.9522
Moolooloo,-16.335589,131.515047
Ngurrutiji,-20.1167,134.5167
Kunoth,-23.69054015,133.8802575
Mangardubu,-12.0937,133.1864
Maningrida,-12.05084722,134.223625
Manmoyi,-12.54064,134.110013
Marrkolidjban,-12.23751389,134.0644583
Pandayal,-13.07478,130.55589
Tnawurta,-23.99890278,132.8383472
Tnyimipurta,-23.88779167,132.671125
Urlampe,-22.49317,137.74252
Ukaka,-24.59261,132.37395
Ukatjupu,-25.90949,129.10549
Ulpanyali,-24.23091,131.50075
Undurana 1C,-23.75723,132.12722
Arlparra,-22.08779,134.77476
Ankerrapw,-22.23004,134.56306
Wallace Rockhole,-24.1245,133.0863
Walytjatjata,-25.97667,129.46583
Wangkari,-25.13169,129.01933
Wanmarra,-24.388406,131.803467
Warren Creek,-23.26572,131.17868
Warumpi,-23.185099,131.975143
Wayililinypa,-22.50196,131.44669
Welere,-22.02194,135.19169
Welmala,-25.68278,133.26116
West Waterhouse,-23.99573,133.11339
Willowra,-21.24445833,132.6139028
Wilora,-21.7411,133.7311
Galupa,-12.1925,136.6892
Galaru,-12.16601,136.75732
Gumuruguru,-12.06001,134.76306
Gan Gan,-13.04605,135.94354
Ganpura,-11.885225,135.812353
Gapuwiyak,-12.50322,135.80587
Mooronga,-11.92119,135.0749
Balma,-13.24939,135.84857
Banthula,-11.83585,135.87365
Baniyala,-13.2004,136.2261
Bawaka,-12.53365,136.76402
Baygurrtji,-13.15787,135.86654
Birany Birany,-12.81703,136.47669
Bodia,-12.07688,134.89628
Bukudal,-12.966471,136.613529
Bularring,-12.04636,135.70342
Bundatharri,-12.23568,134.84672
Rorruwuy,-12.20292,136.29564
Burrum,-12.3094,135.9605
Darrangmurmanja,-13.72486,136.59277
Dhalinybuy,-12.4125,136.3878
Dhamiyaka,-12.65640278,135.8555694
Mewirnbi,-12.12529,134.76806
Mikginj Valley,-12.47966,133.07465
Milikapiti,-11.421667,130.67418
Minjilang,-11.1507,132.5786
Malgawa,-12.83887,133.91826
Hodgson River Station,-15.47477,134.09553
Jowar,-14.72747,134.42881
Kalkarindji,-17.44675,130.83212
Picininny Bore,-19.82711,129.78279
Walpiri,-14.473611,132.2693
Kybrook Farm,-13.86316,131.82196
Lajamanu,-18.335835,130.63834
Liku,-17.91141,130.50429
Lingara,-16.486944,130.64333
Lul-tju,-18.37671,130.59313
Maria Lagoon,-15.29989,135.44463
Marralum,-15.39109,129.25026
Mataranka Town Camp,-14.92618055,133.067375
Miali Brumby,-14.455833,132.2589
Amanbidji,-16.428055,129.6189
Minyerri,-15.2216,134.0821
Mistake Creek,-17.10927,129.04319
Mole Hill,-14.87499,133.83303
Momob,-13.35693,134.26915
Sabina,-13.8603,129.93195
Wulkabimirri,-12.35538,134.90591
Nguyarramini,-20.08713,134.38577
Punjarriji,-20.31062,134.50807
Bloodwood Bore,-25.76764,134.2883
Beer St Bore,-25.58297,134.52565
Halfway Camp,-25.69492,134.36263
Charlotte Waters,-25.91424,134.89274
Mcdonalds Yard,-17.78239,130.59211
Mallarrami,-11.77541,136.53563
Alice Well,-24.88123,134.22962
Irrmarne,-21.65405,136.39475
Bucket Springs,-15.740005,129.16465
Policemans Hole,-15.77853,129.106541
Mt Maiyo,-17.69491,129.39755
Irrerlirre,-22.8462,135.1345
Jangirulu,-18.12561,133.61111
Ulbulla,-25.68357,133.19644
Wunara,-19.9898,136.6181
Werre-Therre,-23.54265,133.63473
Ilperle,-22.92737,135.71575
Jomet (Urpalarwn),-15.42069,133.11146
Undoolya Bore,-23.74762,134.11762
Artekerre,-23.257387,133.766604
Dharrni,-13.74983,136.02005
Dhipirrinjura,-12.24806,135.09757
Dholtji,-11.94835,136.46161
Dhupuwamirri,-12.66796,135.39218
Rurrangala,-12.90425,136.25382
Humpty Doo,-12.63105,131.26078
Ararlagu,-11.52722,133.39848
Injilatparri,-11.611125,133.413625
Ji-Balbal,-12.29755,134.61989
Ji-Marda,-12.056125,134.6150139
Ndjudda,-11.98809,134.247725
Knuckey Lagoon Indigenous Village,-12.43654167,130.9374861
Kolorbidahdah,-12.61309,134.32539
Kulaluk,-12.39279167,130.8489028
Kultchill,-14.42586,129.57391
Mamadawerre,-12.25629,133.65782
Mandilbarreng,-12.27402,133.58456
Mankorlod,-12.56501,134.27067
Mount Catt,-13.80018,134.43241
Mumpumampu,-14.38418056,135.3283472
Duck Ponds,-18.77377,131.27766
Nulawan,-14.78729,134.93128
Ngukurr,-14.7317,134.7321
Nummerloori,-14.59159,134.97727
Parnta,-18.68438,130.65104
Pigeon Hole,-16.81412,131.22037
Pine Creek Compound,-13.81601,131.83106
Rittarangu,-14.71011,134.56526
Rockhole,-14.51935,132.18633
Jiwaranpa,-19.55541,129.92674
Mungurrupa,-20.58481,129.73313
Muruning,-15.67527,130.48457
Turkey Lagoon,-14.52938,134.75093
Wanmarri,-14.45401,135.22691
Weemol,-13.64418056,134.308625
Werenbun,-14.18255,132.1611
Yarralin,-16.44841,130.88279
Yinguwunarri,-16.60891,131.82362
Un-Marr,-14.06441,129.90879
Burt Creek,-23.196524,133.747591
Alkuptija,-23.06533,133.69436
Wooliana,-13.674833,130.64275
Nemarluk,-14.24122,130.00325
Merrepen,-14.22128,129.96735
Kuy,-14.03546,129.59784
Yederr,-14.01965,129.72201
Walkabout Bore,-24.38261,133.81687
Likkaparta,-19.34336,134.53799
Kiana,-17.242361,136.18411
Goolminyini,-16.15829,136.09751
Mimina,-16.80211,136.83428
Inkawenyerre,-21.82016,134.84707
Iylentye,-21.98676,134.72667
Camel Camp,-22.27181,134.55242
Atheley,-21.91757,134.86766
Pungalindum,-22.07061,134.68879
Ngappamilarnu,-19.86188,133.27846
Purrukuwurru,-19.94562,135.69629
Junkaji,-20.44656,134.14149
Arrawajin,-20.51825,134.97551
Kalinjarri,-20.39752,134.36571
Bolkdjam,-12.41151,134.41998
Bulgul,-13.08387,130.12203
Buluhkaduru,-12.432472,134.42307
Yilan,-12.04251389,134.6219583
Dhudupu,-12.0033,135.5692
Gonguruwuy,-12.06638,136.15085
Djarrung,-14.81311,131.53759
Yudu Yudu,-12.23334722,136.6372361
Nama,-14.22945,129.85879
Hoppys Camp,-23.684046,133.876575
Ilpeye Ilpeye Estate,-23.69993055,133.9069861
Myatt,-15.70656,130.483347
Hawk Dreaming,-12.37053,132.93914
Ngarilikirlangu,-22.12594,131.77302
Tinkarli,-19.63723611,134.2025139
Wuppa,-19.63695833,134.1991806
Flicks Hole,-15.61606,134.09331
Burrumburru,-17.74229,137.78155
Manaburdurma,-12.66638,132.84319
Murtulki,-19.91784,134.38936
Murun Murula,-18.49908,137.51754
Irklancha Atwacha,-23.6941,133.9052
Wangalinji,-18.39639,137.46692
Gumuluji,-17.93534,137.48038
Alatyeye,-23.09733,134.21897
Mamadi,-17.84951,129.63515
Jungarrayi Warrnu,-22.68594,131.43088
Cannon Hill,-12.35758,132.94593
Tigers Camp,-11.47407,132.77662
Damdam,-12.16556,134.64529
Gumeragi,-11.1688,132.1647
Ditchi,-14.30373,129.40855
Ji-Bena,-12.14418,134.5264
Gamardi,-12.27398,134.68321
Gamargawan,-12.64914,134.07646
Gochan Jiny Jirra,-12.19925,134.45751
Gorrong-Gorrong,-12.12294,134.49532
Marlwon,-12.13453,133.86307
Kakodbabuldi,-12.40779167,134.1577917
Gumarrirnbang,-12.32945,133.99695
Illeuwurru,-21.60913,134.39411
Gudjekbin,-12.250972,133.80109
Gul Gul,-11.13042,132.33842
Pickertaramoor,-11.766666,130.9
Mirridi,-19.01873,130.77884
Larrpayanji,-14.78334,134.68017
Woolaning,-13.10520833,130.6589028
Bob's Yard,-16.00945,130.61125
Barrak Barrak,-15.8716,130.35876
Garriyak,-12.14861,135.56284
Garrthalala,-12.76305,136.56918
Gatji,-12.27306,134.82029
Gawa,-11.76032,135.90485
Gikal,-12.05218,136.32037
Gitan,-11.91169,135.78183
Gulmarri,-11.91701,135.82229
Gunyangara,-12.215417,136.70569
Gurkawuy,-12.97616,136.50362
Gurrumuru,-12.59223611,136.2316806
Langarra,-12.09918056,135.3616806
Malkala,-13.89140278,136.4422361
Malnjangarnak,-12.66056944,134.7733472
Mapuru,-12.25318,135.43779
Marraya,-13.83939,135.80099
Martjanba,-11.17006,136.70702
Matamata,-12.07676,136.27125
Kulang,-24.71557,129.00638
Walu,-24.73711,129.52559
Walkalba,-22.16249,131.81991
Winparku,-23.43465,131.46172
Pinja,-18.80958,130.37095
Walangurrminy,-12.97482,130.77614
Yakala,-23.88668056,132.6639028
Undurana 2A,-23.75918056,132.1052917
Budjanga,-16.17945,136.76818
Milibunthurra,-15.96231,136.42333
Sandridge,-16.04184,136.34854
Jimilaya,-15.60885,136.67467
Mooloowa,-15.62411,137.00053
Uguie,-15.83006,137.04142
Garawa 2,-16.07390278,136.3189028
Garrinjinny,-16.67496,135.64751
Mariniri,-16.67001389,136.9014028
Wulaburri,-16.4064,136.84162
Wundigalla,-16.47556944,137.0430694
Pantharrpilenhe,-23.37058,134.78921
Warlpeyangkrere,-22.54894,136.99175
Yinyikay,-12.21024,136.22921
Kumunu,-18.76418056,133.6394583
Muckaty,-18.63931944,133.8959028
Yirra Bandoo,-12.57293056,131.022375
Darrandarra,-12.74098,130.95462
10 Mile Outstation,-22.466667,132.37658
Mawulyumanja,-13.84278,136.72335
Milingimbi,-12.1036,134.9201
Milyakburra,-13.78389,136.19583
Mirrnatja,-12.65779167,135.1930694
Miwul,-14.03209,135.91266
Mulgurram,-12.40195833,134.9608472
Naliyindi,-12.54195833,135.178625
Ngangalala,-12.29834722,134.9922361
Nanyingburra,-11.76057,135.87365
Ngayawilli,-11.9943,135.5745
Ngadumiyerrka,-13.82001389,136.4564028
Ngilipitji,-13.54468,135.52562
Nikawu,-12.08973611,135.5466806
Wurwula,-11.97646,136.30349
Numbulwar,-14.2791,135.7406
Ramingining,-12.32779,134.93001
Raymangirr,-12.340305,136.00253
Dhuruputjpi,-13.05478,136.17661
Umbakumba,-13.85973611,136.811125
Waldnarr,-13.76563,135.80531
Wandawuy,-12.89147,136.35636
Ileparratye,-22.02145,133.42931
4 Mile Camp,-11.77798,130.59548
Kabulwarnamyo,-12.76486,133.84472
Corkwood Bore,-23.31225,133.86792
Yulbara,-15.7777,136.9997
Babungi,-15.74444,136.97858
Conder Point,-11.65088,131.32757
Takapimiliyi,-11.81528,130.80161
Penyeme,-22.787249,135.67273
Leichardt,-13.84806,130.27907
Atji Creek,-23.399445,131.98389
Uluperte,-23.76408,135.69544
Kewulyi,-14.92699,134.00927
Ilpurla,-24.31521,132.71446
Burudu,-19.59874,136.92545
Putjamirra,-11.22457,130.36849
Annerre,-21.261694,134.00116
10 Mile,-20.40628,134.75934
Arkanta,-24.52148,132.81995
Ganiyarrang,-14.474999,135.02131
Eagle Valley,-24.92999,129.09845
Tjauwata,-24.91526,129.12181
Emu Point,-14.17021,130.32777
Kelerrk,-13.95783,130.32647
Mulingi,-13.92666,129.95077
Nadilmuk,-11.99384,134.29454
Wumajbarr,-14.16648,135.69241
Wunburri,-11.59498,136.07853
Wurrumenbumanja,-14.13779167,136.5155694
Wuyagiba,-14.62149,135.52036
Yanungbi,-12.27975,136.65787
Yathalamarra,-12.27445833,134.9219583
Yedikba,-14.08056,136.45703
Yanbakwa,-14.21668056,136.456125
Yimidarra,-14.21752,135.56463
Yirringa,-11.64538,136.02578
Yirrkala,-12.25279167,136.8916806
Badawarrka,-14.69603,134.44378
Bamboo Springs,-16.95993,129.08393
Barrapunta,-13.15658,134.85057
Barunga,-14.523625,132.8666806
Beswick,-14.5548,133.1142
Binjari,-14.5502,132.1815
Boomerang Lagoon,-14.45061,135.03925
Bubble Bubble,-15.81036,129.31022
Bulla,-15.764915,130.039364
Bulman,-13.66529167,134.3333472
Costello,-14.56453,134.88289
Nabbarla Kunindabba,-12.06125,134.40225
Barrkira,-12.0086,136.4649
Watdagawuy,-11.93961,135.70074
Wanakutja,-11.10539,132.51106
Timor Springs,-11.09665,132.57399
Sandy Bay,-11.20719,132.58027
Arrgamurrmur,-11.17399,132.61015
Marramarrani,-11.30261,132.55341
Adjamarragu,-11.15182,132.47559
Dhambala,-12.0526,135.5609
Mandedjkadjang,-12.26454,134.03056
Yilila,-13.68204,135.91308
Marrkalawa,-13.57423,135.7131
Patonga (Homestead),-12.95803,132.58047
Connells Lagoon,-18.89143,136.54802
Maperte,-22.541588,136.38103
Hatches Creek,-20.84606,135.21349
Iluwurru,-19.03222,136.65003
Kurntapurra,-19.39177,135.39788
Namerinni,-18.56818,133.71549
Ngurrara,-19.42135,135.40553
Wakurlpu,-20.63229,134.21688
Foxalls Well,-23.07383,134.82355
Yatjalu,-22.40643,131.16216
Yateman's Bore,-23.68622,131.61441
Yinyiripalangu,-22.21046,130.20558
Yuwalki,-23.56347,129.53922
Yuelamu,-22.25834722,132.2055694
Yuendumu,-22.25389,131.79529
Yumurrpa,-21.62731,130.78047
Daguragu,-17.40059,130.80491
Jilkminggan,-14.953055,133.3
Manyallaluk,-14.26649,132.82797
Gorpulyul,-13.34621,134.14587
Gilwi,-15.78711,130.53275
Ininti,-23.16827,129.15249
Injirramurri,-22.46523,131.12911
Intjartnama,-24.06292,132.92056
Five Mile,-23.91848,132.84834
Inyilingi,-23.24973,131.42488
Ipolera,-23.98862,132.37407
Tinki,-23.27331,129.55768
Irrultja,-21.97997,135.11128
Itwiyethwenge,-23.663625,133.8716806
Iwupataka,-23.79061,133.50327
Kaltukatjara,-24.876112,129.07916
Kaporilya,-23.93973611,132.7202917
Karnte,-23.764375,133.8647361
Kintore,-23.27591,129.38725
Ali Curung,-21.003334,134.40694
Alpurrurulam,-20.984167,137.84749
Gulunguru,-19.35439,136.03855
Bajaminyi,-17.77489,137.71243
Bauhinia Downs,-16.21512,135.46968
Wada Warra,-15.74902,136.25224
Munji-Marla,-19.64765278,134.1827917
Yangulinyina,-16.88886,137.20896
Canteen Creek,-20.645082,135.58678
Corella Creek,-18.36685,135.85671
Mara,-16.05084722,136.3047361
Marla Marla,-19.655,134.179
Elliott South Camp,-17.56218,133.55746
Elliott North Camp,-17.54989,133.53597
Wutunugurra,-20.461555,135.25241
Garawa 1,-16.06879167,136.3212917
Jarra Jarra,-20.84765,133.22064
Mudginberri,-12.59772,132.87334
Waidaboonar,-11.93822,132.78225
Mumeka,-12.36306,134.13579
Impadna,-25.15452,133.56947
Arrunge,-22.49935,132.28147
Fossil Head,-14.53778,129.52127
Jingaloo,-17.11311,133.61433
Kalumpurlpa,-19.00387,133.91809
Kangaroo Island,-15.88848,136.53951
Kargaru,-19.658611,134.19806
Kunayungku,-19.74209,133.72464
Mungkarta,-20.33702,134.19843
Ngalpa Ngalpa,-19.63529167,134.193625
Mungalawurru,-19.38253,133.59552
Munyalini,-16.09259,136.18938
Imangara,-21.04961,134.68117
Nudjabarra,-17.97998,137.96944
Marlinja,-17.37111,133.40305
Nuradidgee,-20.11437,134.50849
Pingala,-19.093204,133.882691
Wandangula,-16.05477,136.34558
Bujan,-16.26901,136.87915
Robinson River,-16.75973611,136.9805694
Wogyala,-19.00617,135.17821
Jilundarina,-17.60557,137.57665
South West Island,-15.68902,136.68821
Tara,-21.50658,133.99669
Tjoungouri,-16.17126,136.04365
Village Camp,-19.656,134.1842
West Island,-15.64251,136.50235
Wollogorang,-17.21828,137.98884
Kubuyirr,-14.12168,129.78499
Ngarinthi,-14.46204,129.42257
Old Mission,-14.12918056,129.4980694
Ngunthak,-14.40445,129.36183
Angatyepe,-23.745,133.7275
Angkerle Arrenge (A),-23.74599,133.48008
Angkerle Arrenge (B),-23.73894,133.47969
Arrillhjere,-23.77981,133.62608
Elitjia,-23.77677,133.61583
Irriltyere (A),-23.75129,133.69467
Irriltyere (B),-23.76105,133.68564
Iteyepintye,-23.76466,133.59994
Itperlyenge,-23.76361,133.61103
Kwale Kwale,-23.76972,133.57451
Payeperrentye (B),-23.77074,133.55621
Perte Therre,-23.75818,133.64573
Tnerte,-23.74715,133.72011
Twetye (A),-23.74034,133.70539
Twetye (B),-23.74292,133.69633
Tywenpe (A),-23.72634,133.72928
Inbina Atwatye,-23.74118,133.71324
Tywenpe (C),-23.74426,133.68787
Tywenpe (D),-23.7648,133.67226
Itchy Koo Park,-23.766666,133.65816
Yanyula,-16.0613,136.3083
Acacia Larrakia,-12.8142,131.1715
Alamirra,-11.06745,132.52835
Paradise Farm,-12.93909722,132.5327083
Amatjatpalk,-11.59488,133.45508
Ankabadbirri,-12.25695,134.41973
Araru Point,-11.19364,131.87783
Bagot,-12.416125,130.8551528
Walka,-11.17957,132.58843
Belyuen,-12.5386,130.6999
Berraja,-12.07195,134.50486
Jodetluk,-14.360001,132.43333
Kurrurldul,-12.48806,134.24012
Awumbunyji,-14.44723,135.43529
Chilla Well,-21.52777,130.97067
5 Mile Bore,-23.23265,131.98296
Ulambara,-23.27715,131.92748
Amundurngua,-23.27143,131.42343
Tjintirtjintirpa,-23.28522,131.27059
Ngutjul,-23.29677,129.46752
Muyin,-23.15972,129.00489
